ad_id,ad_type,title,price,breed,location,age,ready_to_leave,litter_size,available,seller_name,seller_type,kc_registered,microchipped,vaccinated,boys,girls,created,reposted,url
554936186355,For Sale,Beautiful  mini dachhunt  pappy,£800,Dachshund Miniature Smooth Haired,,6½ weeks,,4,4,Irena,Private Advert,No,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/area/554936186355_beautiful-mini-dachhunt-pappy
035571574874,For Sale,Bull herders. Second generation will be 35kg plus good family dogs with a lot of drive,£500,Mixed Breed,,9 weeks,,6,6,Ryan,Private Advert,No,False,False,False,False,2026-01-14,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/area/035571574874_bull-herders-second-generation-will-be-35kg-plus-good-family-dogs-with-a-lot-of-drive
771615720514,For Sale,Beautiful littler of French bulldogs,"£1,500",French Bulldog,West Midlands,"6 weeks, 5 days",,4,4,Hayley,Private Advert,Yes,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/french-bulldog/west-midlands/771615720514_beautiful-littler-of-french-bulldogs
666502275031,For Sale,Beautiful English Pointer Puppies,"£1,350",Pointer,Warwickshire,"4 weeks, 5 days",,5,5,Kim,Private Advert,Yes,True,True,True,True,2026-01-12,,https://www.foreverpuppy.co.uk/for-sale/pointer/warwickshire/666502275031_beautiful-english-pointer-puppies
058566124853,For Sale,Ready to leave now 🩷🩷/💙💙💙❤️/💙,"£1,200",Dachshund Miniature Smooth Haired,West Midlands,12 weeks,,4,4,Diana,Private Advert,Yes,False,False,False,False,2025-11-25,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/west-midlands/058566124853_ready-to-leave-now
829479707410,For Sale,Beautiful miniature dachshund puppies,"£1,400",Dachshund Miniature Smooth Haired,Essex,8½ weeks,,5,5,Sharon,Private Advert,No,False,False,False,False,2025-12-16,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/essex/829479707410_beautiful-miniature-dachshund-puppies
452202317583,For Sale,4 girls 5 boys  tan and white,£800,English Springer Spaniel,South Yorkshire,"2 weeks, 5 days",,9,9,Janine,Private Advert,No,False,False,False,False,2026-01-13,,https://www.foreverpuppy.co.uk/for-sale/english-springer-spaniel/south-yorkshire/452202317583_4-girls-5-boys-tan-and-white
725026567755,For Sale,Siberian huskys for sale,£750,Siberian Husky,Norfolk,8½ weeks,,7,1,Arturs,Private Advert,No,True,True,False,True,,,https://www.foreverpuppy.co.uk/for-sale/siberian-husky/norfolk/725026567755_siberian-huskys-for-sale
073540736627,For Sale,Fox red Labrador puppies,£900,Labrador Retriever,,9 weeks,,5,5,Susanne,Private Advert,No,False,False,False,False,,,https://www.foreverpuppy.co.uk/for-sale/labrador-retriever/area/073540736627_fox-red-labrador-puppies
261003293133,For Sale,💖💙Labrador puppies 💙💖,"£1,100",Labrador Retriever,Nottinghamshire,5 weeks,,6,1,Lionie,Private Advert,No,True,True,True,True,2026-01-08,,https://www.foreverpuppy.co.uk/for-sale/labrador-retriever/nottinghamshire/261003293133_labrador-puppies
