title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
Stunning rare Cotonese puppies ( cotton de tulear x maltese),"£1,350","Hexham, Northumberland",https://www.preloved.co.uk/adverts/show/123009798/stunning-rare-cotonese-puppies-cotton-de-tulear-x-maltese,Cotonese,Male,5 weeks,at 8 weeks,No,No,No,,,Private Seller,137.0,12 days ago,Sharon,,September 2010
"Meet Alfie, currently residing in Buckinghamshire",£520,"Leeds, England",https://www.preloved.co.uk/adverts/show/123011737/meet-alfie-currently-residing-in-buckinghamshire,Mixed,Male,3 years,Now,No,Yes,Yes,Yes,Yes,Rescue,78.0,8 days ago,Pawprints2freedom,,August 2024
Cockatoo puppies girls / boys available,£950,"Mirfield, West Yorkshire",https://www.preloved.co.uk/adverts/show/122993528/cockatoo-puppies-girls-boys-available,Cockatoo,Mixed Litter,3 months,at 8 weeks,,Yes,,,,Private Seller,828.0,55 days ago,Jabc,Premium,January 2025
Beautiful Purebred LabradorPuppies for Sale – KC,"£1,500","Bradford, West Yorkshire",https://www.preloved.co.uk/adverts/show/123010104/beautiful-purebred-labradorpuppies-for-sale-kc,Labrador retriever,Mixed Litter,2 weeks,at 8 weeks,Yes - Breed Register,No,No,• M...,Yes,Private Seller,40.0,11 days ago,Amy16,,October 2016
KC Reg Labrador puppies (Black and yellow) mixed litter,"£1,500","Denbigh, Denbighshire",https://www.preloved.co.uk/adverts/show/123009478/kc-reg-labrador-puppies-black-and-yellow-mixed-litter,Labrador Retriever,Mixed Litter,3 weeks,at 13 weeks,Yes - Breed Register,Yes,No,First vaccination,Vet checked,Private Seller,118.0,13 days ago,RCH,,July 2014
Golden Labrador male pups,"£1,200","Blairgowrie, Perthshire",https://www.preloved.co.uk/adverts/show/123007196/golden-labrador-male-pups,Labrador,Male,8 weeks,17th of January,No,Yes,No,No,No,Private Seller,130.0,18 days ago,Lisa,,June 2019
KC Registered French Bulldog Puppies,"£1,500","Cheltenham, Gloucestershire",https://www.preloved.co.uk/adverts/show/123008310/kc-registered-french-bulldog-puppies,French Bulldog,Mixed Litter,8 weeks,at 8 weeks,Yes - Breed Register,Yes,No,First vaccination done.,,Private Seller,92.0,16 days ago,MaxineRebeccax,,May 2022
Poochon x Doxiepoo puppies,£900,"Porthcawl, Mid Glam",https://www.preloved.co.uk/adverts/show/123006566/poochon-x-doxiepoo-puppies,Poodle cross,Mixed Litter,8 weeks,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,92.0,20 days ago,LCee,,July 2008
Boston terrier Girl 9 months old REDUCED,"£1,300",Durham,https://www.preloved.co.uk/adverts/show/123009532/boston-terrier-girl-9-months-old-reduced,Boston Terrier,Female,9 months,Now,Yes - Breed Register,Yes,No,Both puppy jabs,Yes by vet,Private Seller,94.0,13 days ago,Crazydoglady,,February 2018
"Pomchi pups, ready beginning of March. 1 boy 1 girl",£900,"Littleborough, Lancs",https://www.preloved.co.uk/adverts/show/123008773/pomchi-pups-ready-beginning-of-march-1-boy-1-girl,Pomchi,Mixed Litter,3 weeks,"at 8 weeks old (beginning of March)Their wellbeing is our absolute priority, and we are looking for ",No,Yes,No,Yes,Yes,Private Seller,86.0,15 days ago,Luke,,April 2012
11 week old microchipped mintute poodles cross french bulldo,"£1,000","Southampton, Hampshire",https://www.preloved.co.uk/adverts/show/123009905/11-week-old-microchipped-mintute-poodles-cross-french-bulldo,Miniature Poodle cross french bulldog,Mixed Litter,2 months,Now,No,Yes,No,First vaccine,All health checked,Private Seller,129.0,12 days ago,Amie,,May 2024
German Shepard puppy KC registered,"£1,600","Leyburn, N Yorkshire",https://www.preloved.co.uk/adverts/show/123007626/german-shepard-puppy-kc-registered,German shepherd,Mixed Litter,7 weeks,at 8 weeks,Yes - Breed Register,Yes,No,will be done health checked at local vets. Will come with puppy packs including 5 weeks free insuran,Vet checked,Private Seller,108.0,17 days ago,Ben Cronin,,July 2013
